percent,Radioactive by Imagine Dragons,Counting Stars by OneRepublic,Call Me Maybe by Carley Rae Jepsen
0.0,0.5710180089458163,0.9645924798762879,0.9050301302746907
0.1,0.42740267426521644,0.01161430267386201,0.6838758386152235
0.2,-0.5774675618482183,-0.73519751186493,-0.7656822210214603
0.3,0.20589319302021994,0.15785552404747488,0.9037162702843736
0.4,0.7447301677577395,0.9031569556027931,0.23791501603284582
0.5,-0.823028562444388,-0.01686916983612755,-0.6352933678681751
0.6,0.6529707021236757,0.8788158661193042,0.9042507450198817
0.7,-0.1355617139709117,-0.5764545935732309,-0.7378631688411121
0.8,0.5176801967548668,0.8524203797132553,0.5696514167665246
0.9,0.32536462972518093,0.9924704773797579,0.16813364820725077
